Symbol,NCBI GeneID,Description,Ensembl GeneIDs
CCR2,729230,C-C motif chemokine receptor 2,ENSG00000121807
H2AX,3014,H2A.X variant histone,ENSG00000188486
SDC1,6382,syndecan 1,ENSG00000115884
HSPA8,3312,heat shock protein family A (Hsp70) member 8,ENSG00000109971
TET2,54790,tet methylcytosine dioxygenase 2,ENSG00000168769
HPSE,10855,heparanase,ENSG00000173083
FYN,2534,"FYN proto-oncogene, Src family tyrosine kinase",ENSG00000010810
GC,2638,GC vitamin D binding protein,ENSG00000145321
LRP1,4035,LDL receptor related protein 1,ENSG00000123384
STING1,340061,stimulator of interferon response cGAMP interactor 1,ENSG00000184584
SMARCB1,6598,SWI/SNF related BAF chromatin remodeling complex subunit B1,ENSG00000099956
PPIA,5478,peptidylprolyl isomerase A,ENSG00000196262
SLCO1B1,10599,solute carrier organic anion transporter family member 1B1,ENSG00000134538
DNMT3B,1789,DNA methyltransferase 3 beta,ENSG00000088305
BCL2L11,10018,BCL2 like 11,ENSG00000153094
BACE1,23621,beta-secretase 1,ENSG00000186318
SKP2,6502,S-phase kinase associated protein 2,ENSG00000145604
HSPD1,3329,heat shock protein family D (Hsp60) member 1,ENSG00000144381
IL22,50616,interleukin 22,ENSG00000127318
VKORC1,79001,vitamin K epoxide reductase complex subunit 1,ENSG00000167397
PAK1,5058,p21 (RAC1) activated kinase 1,ENSG00000149269
PAH,5053,phenylalanine hydroxylase,ENSG00000171759
ADORA2A,135,adenosine A2a receptor,ENSG00000128271
FKBP5,2289,FKBP prolyl isomerase 5,ENSG00000096060
TTN,7273,titin,ENSG00000155657
CAMP,820,cathelicidin antimicrobial peptide,ENSG00000164047
TIMP2,7077,TIMP metallopeptidase inhibitor 2,ENSG00000035862
NBN,4683,nibrin,ENSG00000104320
TSC2,7249,TSC complex subunit 2,ENSG00000103197
IAPP,3375,islet amyloid polypeptide,ENSG00000121351
FLNA,2316,filamin A,ENSG00000196924
PROC,5624,"protein C, inactivator of coagulation factors Va and VIIIa",ENSG00000115718
GNB3,2784,G protein subunit beta 3,ENSG00000111664
ERG,2078,ETS transcription factor ERG,ENSG00000157554
KEAP1,9817,kelch like ECH associated protein 1,ENSG00000079999
MC1R,4157,melanocortin 1 receptor,ENSG00000258839
SHBG,6462,sex hormone binding globulin,ENSG00000129214
APOC3,345,apolipoprotein C3,ENSG00000110245
ABCC1,4363,ATP binding cassette subfamily C member 1 (ABCC1 blood group),ENSG00000103222
ADAR,103,adenosine deaminase RNA specific,ENSG00000160710
TNNI3,7137,"troponin I3, cardiac type",ENSG00000129991
PLG,5340,plasminogen,ENSG00000122194
PGF,5228,placental growth factor,ENSG00000119630
XRCC3,7517,X-ray repair cross complementing 3,ENSG00000126215
CD209,30835,CD209 molecule,ENSG00000090659
NCAM1,4684,neural cell adhesion molecule 1,ENSG00000149294
YY1,7528,YY1 transcription factor,ENSG00000100811
CACNA1C,775,calcium voltage-gated channel subunit alpha1 C,ENSG00000151067
SELE,6401,selectin E,ENSG00000007908
AURKB,9212,aurora kinase B,ENSG00000178999
ALDH1A1,216,aldehyde dehydrogenase 1 family member A1,ENSG00000165092
BAP1,8314,BRCA1 associated deubiquitinase 1,ENSG00000163930
SELP,6403,selectin P,ENSG00000174175
SPARC,6678,secreted protein acidic and cysteine rich,ENSG00000113140
BRD4,23476,bromodomain containing 4,ENSG00000141867
IL21,59067,interleukin 21,ENSG00000138684
TFRC,7037,transferrin receptor,ENSG00000072274
SOCS1,8651,suppressor of cytokine signaling 1,ENSG00000185338
KCNJ11,3767,potassium inwardly rectifying channel subfamily J member 11,ENSG00000187486
CEBPB,1051,CCAAT enhancer binding protein beta,ENSG00000172216
ROCK1,6093,Rho associated coiled-coil containing protein kinase 1,ENSG00000067900
CA9,768,carbonic anhydrase 9,ENSG00000107159
PLA2G7,7941,phospholipase A2 group VII,ENSG00000146070
LTF,4057,lactotransferrin,ENSG00000012223
KLRK1,22914,killer cell lectin like receptor K1,ENSG00000213809
GLI1,2735,GLI family zinc finger 1,ENSG00000111087
ABCA4,24,ATP binding cassette subfamily A member 4,ENSG00000198691
TREM2,54209,triggering receptor expressed on myeloid cells 2,ENSG00000095970
MUC16,94025,"mucin 16, cell surface associated",ENSG00000181143
HTR1A,3350,5-hydroxytryptamine receptor 1A,ENSG00000178394
KDM1A,23028,lysine demethylase 1A,ENSG00000004487
YWHAZ,7534,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,ENSG00000164924
FASN,2194,fatty acid synthase,ENSG00000169710
AQP4,361,aquaporin 4,ENSG00000171885
CALM1,801,calmodulin 1,ENSG00000198668
CDX2,1045,caudal type homeobox 2,ENSG00000165556
AHSG,197,alpha 2-HS glycoprotein,ENSG00000145192
IFNB1,3456,interferon beta 1,ENSG00000171855
CAT,847,catalase,ENSG00000121691
ANXA1,301,annexin A1,ENSG00000135046
IDH2,3418,isocitrate dehydrogenase (NADP(+)) 2,ENSG00000182054
FGB,2244,fibrinogen beta chain,ENSG00000171564
COL2A1,1280,collagen type II alpha 1 chain,ENSG00000139219
UCP2,7351,uncoupling protein 2,ENSG00000175567
IKBKB,3551,inhibitor of nuclear factor kappa B kinase subunit beta,ENSG00000104365
EPCAM,4072,epithelial cell adhesion molecule,ENSG00000119888
LCK,3932,"LCK proto-oncogene, Src family tyrosine kinase",ENSG00000182866
APOL1,8542,apolipoprotein L1,ENSG00000100342
EIF4E,1977,eukaryotic translation initiation factor 4E,ENSG00000151247
FSHR,2492,follicle stimulating hormone receptor,ENSG00000170820
IL23R,149233,interleukin 23 receptor,ENSG00000162594
SUMO1,7341,small ubiquitin like modifier 1,ENSG00000116030
ARID1A,8289,AT-rich interaction domain 1A,ENSG00000117713
F2RL1,2150,F2R like trypsin receptor 1,ENSG00000164251
AVP,551,arginine vasopressin,ENSG00000101200
EPHA2,1969,EPH receptor A2,ENSG00000142627
RYR1,6261,ryanodine receptor 1,ENSG00000196218
POLG,5428,"DNA polymerase gamma, catalytic subunit",ENSG00000140521
XPO1,7514,exportin 1,ENSG00000082898
TXN,7295,thioredoxin,ENSG00000136810
HSF1,3297,heat shock transcription factor 1,ENSG00000185122
SHC1,6464,SHC adaptor protein 1,ENSG00000160691
CBS,875,cystathionine beta-synthase,ENSG00000160200
S100A4,6275,S100 calcium binding protein A4,ENSG00000196154
CTCF,10664,CCCTC-binding factor,ENSG00000102974
TF,7018,transferrin,ENSG00000091513
HLA-DPB1,3115,"major histocompatibility complex, class II, DP beta 1",ENSG00000223865
TLR7,51284,toll like receptor 7,ENSG00000196664
CCNE1,898,cyclin E1,ENSG00000105173
SREBF1,6720,sterol regulatory element binding transcription factor 1,ENSG00000072310
DRD3,1814,dopamine receptor D3,ENSG00000151577
EIF2AK2,5610,eukaryotic translation initiation factor 2 alpha kinase 2,ENSG00000055332
ETS1,2113,"ETS proto-oncogene 1, transcription factor",ENSG00000134954
SLC26A4,5172,solute carrier family 26 member 4,ENSG00000091137
CYP2B6,1555,cytochrome P450 family 2 subfamily B member 6,ENSG00000197408
NRP1,8829,neuropilin 1,ENSG00000099250
IRF3,3661,interferon regulatory factor 3,ENSG00000126456
FOS,2353,"Fos proto-oncogene, AP-1 transcription factor subunit",ENSG00000170345
MME,4311,membrane metalloendopeptidase,ENSG00000196549
FHIT,2272,fragile histidine triad diadenosine triphosphatase,ENSG00000189283
ADRB3,155,adrenoceptor beta 3,ENSG00000188778
ADRB1,153,adrenoceptor beta 1,ENSG00000043591
ITGA2B,3674,integrin subunit alpha 2b,ENSG00000005961
GCK,2645,glucokinase,ENSG00000106633
GCG,2641,glucagon,ENSG00000115263
TPMT,7172,thiopurine S-methyltransferase,ENSG00000137364
F2R,2149,coagulation factor II thrombin receptor,ENSG00000181104
PRL,5617,prolactin,ENSG00000172179
AXL,558,AXL receptor tyrosine kinase,ENSG00000167601
BCL6,604,BCL6 transcription repressor,ENSG00000113916
NGF,4803,nerve growth factor,ENSG00000134259
CCNB1,891,cyclin B1,ENSG00000134057
NTRK1,4914,neurotrophic receptor tyrosine kinase 1,ENSG00000198400
CYBB,1536,cytochrome b-245 beta chain,ENSG00000165168
CYP11B2,1585,cytochrome P450 family 11 subfamily B member 2,ENSG00000179142
SMN1,6606,"survival of motor neuron 1, telomeric",ENSG00000172062
MEN1,4221,menin 1,ENSG00000133895
OLR1,4973,oxidized low density lipoprotein receptor 1,ENSG00000173391
PTH,5741,parathyroid hormone,ENSG00000152266
CD34,947,CD34 molecule,ENSG00000174059
SOST,50964,sclerostin,ENSG00000167941
METTL3,56339,"methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit",ENSG00000165819
NR1I2,8856,nuclear receptor subfamily 1 group I member 2,ENSG00000144852
IKZF1,10320,IKAROS family zinc finger 1,ENSG00000185811
ACTB,60,actin beta,ENSG00000075624
S100A8,6279,S100 calcium binding protein A8,ENSG00000143546
FGA,2243,fibrinogen alpha chain,ENSG00000171560
HDAC6,10013,histone deacetylase 6,ENSG00000094631
NOX4,50507,NADPH oxidase 4,ENSG00000086991
IL4R,3566,interleukin 4 receptor,ENSG00000077238
BCR,613,BCR activator of RhoGEF and GTPase,ENSG00000186716
FABP4,2167,fatty acid binding protein 4,ENSG00000170323
XRCC6,2547,X-ray repair cross complementing 6,ENSG00000196419
XPC,7508,"XPC complex subunit, DNA damage recognition and repair factor",ENSG00000154767
GHR,2690,growth hormone receptor,ENSG00000112964
SERPINF1,5176,serpin family F member 1,ENSG00000132386
PTPN1,5770,protein tyrosine phosphatase non-receptor type 1,ENSG00000196396
CRYAB,1410,crystallin alpha B,ENSG00000109846
STUB1,10273,STIP1 homology and U-box containing protein 1,ENSG00000103266
IL27,246778,interleukin 27,ENSG00000197272
AQP1,358,aquaporin 1 (Colton blood group),ENSG00000240583
RXRA,6256,retinoid X receptor alpha,ENSG00000186350
SLC4A1,6521,solute carrier family 4 member 1 (Diego blood group),ENSG00000004939
NPY,4852,neuropeptide Y,ENSG00000122585
UCHL1,7345,ubiquitin C-terminal hydrolase L1,ENSG00000154277
ORAI1,84876,ORAI calcium release-activated calcium modulator 1,ENSG00000276045
TGFBI,7045,transforming growth factor beta induced,ENSG00000120708
ADH1B,125,"alcohol dehydrogenase 1B (class I), beta polypeptide",ENSG00000196616
GFAP,2670,glial fibrillary acidic protein,ENSG00000131095
NOS1,4842,nitric oxide synthase 1,ENSG00000089250
DNM1L,10059,dynamin 1 like,ENSG00000087470
SIRT3,23410,sirtuin 3,ENSG00000142082
TBK1,29110,TANK binding kinase 1,ENSG00000183735
ITGA2,3673,integrin subunit alpha 2,ENSG00000164171
IKBKG,8517,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,ENSG00000269335
CHRNA7,1139,cholinergic receptor nicotinic alpha 7 subunit,ENSG00000175344
PTPN6,5777,protein tyrosine phosphatase non-receptor type 6,ENSG00000111679
F13A1,2162,coagulation factor XIII A chain,ENSG00000124491
SCARB1,949,scavenger receptor class B member 1,ENSG00000073060
TSLP,85480,thymic stromal lymphopoietin,ENSG00000145777
ITGA5,3678,integrin subunit alpha 5,ENSG00000161638
NCL,4691,nucleolin,ENSG00000115053
IGF2BP3,10643,insulin like growth factor 2 mRNA binding protein 3,ENSG00000136231
BTK,695,Bruton tyrosine kinase,ENSG00000010671
THBD,7056,thrombomodulin,ENSG00000178726
UBE2I,7329,ubiquitin conjugating enzyme E2 I,ENSG00000103275
NF2,4771,"NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor",ENSG00000186575
L1CAM,3897,L1 cell adhesion molecule,ENSG00000198910
GAPDH,2597,glyceraldehyde-3-phosphate dehydrogenase,ENSG00000111640
APLN,8862,apelin,ENSG00000171388
NME1,4830,NME/NM23 nucleoside diphosphate kinase 1,ENSG00000239672
PKD1,5310,"polycystin 1, transient receptor potential channel interacting",ENSG00000008710
PLAT,5327,"plasminogen activator, tissue type",ENSG00000104368
MSH6,2956,mutS homolog 6,ENSG00000116062
MAP2K1,5604,mitogen-activated protein kinase kinase 1,ENSG00000169032
TOP1,7150,DNA topoisomerase I,ENSG00000198900
GPER1,2852,G protein-coupled estrogen receptor 1,ENSG00000164850
XRCC5,7520,X-ray repair cross complementing 5,ENSG00000079246
MUTYH,4595,mutY DNA glycosylase,ENSG00000132781
MYH7,4625,myosin heavy chain 7,ENSG00000092054
CYP2A6,1548,cytochrome P450 family 2 subfamily A member 6,ENSG00000255974
F9,2158,coagulation factor IX,ENSG00000101981
MITF,4286,melanocyte inducing transcription factor,ENSG00000187098
ERBB4,2066,erb-b2 receptor tyrosine kinase 4,ENSG00000178568
WWTR1,25937,WW domain containing transcription regulator 1,ENSG00000018408
IL12A,3592,interleukin 12A,ENSG00000168811
SNAI2,6591,snail family transcriptional repressor 2,ENSG00000019549
CD28,940,CD28 molecule,ENSG00000178562
CXCR2,3579,C-X-C motif chemokine receptor 2,ENSG00000180871
RIPK1,8737,receptor interacting serine/threonine kinase 1,ENSG00000137275
MTDH,92140,metadherin,ENSG00000147649
COL1A2,1278,collagen type I alpha 2 chain,ENSG00000164692
PTPRC,5788,protein tyrosine phosphatase receptor type C,ENSG00000081237
CD163,9332,CD163 molecule,ENSG00000177575
ABO,28,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",ENSG00000175164
NTRK2,4915,neurotrophic receptor tyrosine kinase 2,ENSG00000148053
GPX1,2876,glutathione peroxidase 1,ENSG00000233276
OPA1,4976,OPA1 mitochondrial dynamin like GTPase,ENSG00000198836
GLP1R,2740,glucagon like peptide 1 receptor,ENSG00000112164
GLA,2717,galactosidase alpha,ENSG00000102393
CD38,952,CD38 molecule,ENSG00000004468
AGO2,27161,argonaute RISC catalytic component 2,ENSG00000123908
HBA2,3040,hemoglobin subunit alpha 2,ENSG00000188536
CYBA,1535,cytochrome b-245 alpha chain,ENSG00000051523
CDKN2B,1030,cyclin dependent kinase inhibitor 2B,ENSG00000147883
SERPINC1,462,serpin family C member 1,ENSG00000117601
ADAM10,102,ADAM metallopeptidase domain 10,ENSG00000137845
NKX2-1,7080,NK2 homeobox 1,ENSG00000136352
SIRT6,51548,sirtuin 6,ENSG00000077463
CASP9,842,caspase 9,ENSG00000132906
IL7R,3575,interleukin 7 receptor,ENSG00000168685
TIMP3,7078,TIMP metallopeptidase inhibitor 3,ENSG00000100234
MUC5AC,4586,"mucin 5AC, oligomeric mucus/gel-forming",ENSG00000215182
ZAP70,7535,zeta chain of T cell receptor associated protein kinase 70,ENSG00000115085
NGFR,4804,nerve growth factor receptor,ENSG00000064300
BST2,684,bone marrow stromal cell antigen 2,ENSG00000130303
USP7,7874,ubiquitin specific peptidase 7,ENSG00000187555
CTSB,1508,cathepsin B,ENSG00000164733
STAT6,6778,signal transducer and activator of transcription 6,ENSG00000166888
CFLAR,8837,CASP8 and FADD like apoptosis regulator,ENSG00000003402
BGLAP,632,bone gamma-carboxyglutamate protein,ENSG00000242252
GZMB,3002,granzyme B,ENSG00000100453
MTR,4548,5-methyltetrahydrofolate-homocysteine methyltransferase,ENSG00000116984
KISS1,3814,KiSS-1 metastasis suppressor,ENSG00000170498
CDH2,1000,cadherin 2,ENSG00000170558
CX3CL1,6376,C-X3-C motif chemokine ligand 1,ENSG00000006210
CD24,100133941,CD24 molecule,ENSG00000272398
TRPV4,59341,transient receptor potential cation channel subfamily V member 4,ENSG00000111199
WRN,7486,WRN RecQ like helicase,ENSG00000165392
ELANE,1991,"elastase, neutrophil expressed",ENSG00000197561
IRF1,3659,interferon regulatory factor 1,ENSG00000125347
PPARD,5467,peroxisome proliferator activated receptor delta,ENSG00000112033
PIK3CG,5294,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",ENSG00000105851
ELN,2006,elastin,ENSG00000049540
CHUK,1147,component of inhibitor of nuclear factor kappa B kinase complex,ENSG00000213341
JAK1,3716,Janus kinase 1,ENSG00000162434
ABCC2,1244,ATP binding cassette subfamily C member 2,ENSG00000023839
RACK1,10399,receptor for activated C kinase 1,ENSG00000204628
CTSD,1509,cathepsin D,ENSG00000117984
RARA,5914,retinoic acid receptor alpha,ENSG00000131759
SAA1,6288,serum amyloid A1,ENSG00000173432
HMGA1,3159,high mobility group AT-hook 1,ENSG00000137309
CX3CR1,1524,C-X3-C motif chemokine receptor 1,ENSG00000168329
EWSR1,2130,EWS RNA binding protein 1,ENSG00000182944
IL23A,51561,interleukin 23 subunit alpha,ENSG00000110944
EPHX1,2052,epoxide hydrolase 1,ENSG00000143819
TNC,3371,tenascin C,ENSG00000041982
ALPL,249,"alkaline phosphatase, biomineralization associated",ENSG00000162551
RPS6KB1,6198,ribosomal protein S6 kinase B1,ENSG00000108443
CHGA,1113,chromogranin A,ENSG00000100604
PDGFB,5155,platelet derived growth factor subunit B,ENSG00000100311
STAT5A,6776,signal transducer and activator of transcription 5A,ENSG00000126561
GRIN2B,2904,glutamate ionotropic receptor NMDA type subunit 2B,ENSG00000273079
MYB,4602,"MYB proto-oncogene, transcription factor",ENSG00000118513
PECAM1,5175,platelet and endothelial cell adhesion molecule 1,ENSG00000261371
TNFRSF10B,8795,TNF receptor superfamily member 10b,ENSG00000120889
MMP13,4322,matrix metallopeptidase 13,ENSG00000137745
PRKCB,5579,protein kinase C beta,ENSG00000166501
BMPR2,659,bone morphogenetic protein receptor type 2,ENSG00000204217
POMC,5443,proopiomelanocortin,ENSG00000115138
LDHA,3939,lactate dehydrogenase A,ENSG00000134333
TGFB2,7042,transforming growth factor beta 2,ENSG00000092969
FGG,2266,fibrinogen gamma chain,ENSG00000171557
IFIH1,64135,interferon induced with helicase C domain 1,ENSG00000115267
JAG1,182,jagged canonical Notch ligand 1,ENSG00000101384
F10,2159,coagulation factor X,ENSG00000126218
NCOA3,8202,nuclear receptor coactivator 3,ENSG00000124151
SMAD7,4092,SMAD family member 7,ENSG00000101665
HTRA1,5654,HtrA serine peptidase 1,ENSG00000166033
CDK9,1025,cyclin dependent kinase 9,ENSG00000136807
HDAC3,8841,histone deacetylase 3,ENSG00000171720
STMN1,3925,stathmin 1,ENSG00000117632
CXCR3,2833,C-X-C motif chemokine receptor 3,ENSG00000186810
CDK6,1021,cyclin dependent kinase 6,ENSG00000105810
FOXA1,3169,forkhead box A1,ENSG00000129514
ALOX5,240,arachidonate 5-lipoxygenase,ENSG00000012779
POLR2A,5430,RNA polymerase II subunit A,ENSG00000181222
NT5E,4907,5'-nucleotidase ecto,ENSG00000135318
SAMHD1,25939,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,ENSG00000101347
NES,10763,nestin,ENSG00000132688
PTCH1,5727,patched 1,ENSG00000185920
CCN1,3491,cellular communication network factor 1,ENSG00000142871
CDK5,1020,cyclin dependent kinase 5,ENSG00000164885
IL37,27178,interleukin 37,ENSG00000125571
TMPRSS2,7113,transmembrane serine protease 2,ENSG00000184012
GP1BA,2811,glycoprotein Ib platelet subunit alpha,ENSG00000185245
RBX1,9978,ring-box 1,ENSG00000100387
SPHK1,8877,sphingosine kinase 1,ENSG00000176170
SF3B1,23451,splicing factor 3b subunit 1,ENSG00000115524
PRMT5,10419,protein arginine methyltransferase 5,ENSG00000100462
PAPPA,5069,pappalysin 1,ENSG00000182752
TPH2,121278,tryptophan hydroxylase 2,ENSG00000139287
MYOC,4653,myocilin,ENSG00000034971
NANOG,79923,Nanog homeobox,ENSG00000111704
HNF1B,6928,HNF1 homeobox B,ENSG00000275410
TRAF2,7186,TNF receptor associated factor 2,ENSG00000127191
CUL1,8454,cullin 1,ENSG00000055130
MAP3K7,6885,mitogen-activated protein kinase kinase kinase 7,ENSG00000135341
CEACAM5,1048,CEA cell adhesion molecule 5,ENSG00000105388
UBE2D1,7321,ubiquitin conjugating enzyme E2 D1,ENSG00000072401
KRT19,3880,keratin 19,ENSG00000171345
IL7,3574,interleukin 7,ENSG00000104432
CASP1,834,caspase 1,ENSG00000137752
XBP1,7494,X-box binding protein 1,ENSG00000100219
CACNA1A,773,calcium voltage-gated channel subunit alpha1 A,ENSG00000141837
ABCC8,6833,ATP binding cassette subfamily C member 8,ENSG00000006071
MFN2,9927,mitofusin 2,ENSG00000116688
WWOX,51741,WW domain containing oxidoreductase,ENSG00000186153
